fund_code,stored_name,official_name,verdict,reason
000530,冰山冷热,招商丰盛稳定增长混合A,not_a_fund,「冰山冷热」在基金域查不到同名产品，检索到的是股票市场品种
000938,紫光股份,华商稳固添利债券C,not_a_fund,「紫光股份」在基金域查不到同名产品，检索到的是股票市场品种
000970,中科三环,东方红睿元混合,not_a_fund,「中科三环」在基金域查不到同名产品，检索到的是股票市场品种
001309,德明利,东方红睿逸定期开放混合,not_a_fund,「德明利」在基金域查不到同名产品，检索到的是股票市场品种
002154,报 喜 鸟,华安安润灵活配置混合C,not_a_fund,「报 喜 鸟」在基金域查不到同名产品，检索到的是股票市场品种
002261,拓维信息,中银宝利混合A,not_a_fund,「拓维信息」在基金域查不到同名产品，检索到的是股票市场品种
002354,天娱数科,博时裕腾纯债债券A,not_a_fund,「天娱数科」在基金域查不到同名产品，检索到的是股票市场品种
002413,雷科防务,中银瑞利混合A,not_a_fund,「雷科防务」在基金域查不到同名产品，检索到的是股票市场品种
002900,哈三联,南方中证500信息技术联接A,not_a_fund,「哈三联」在基金域查不到同名产品，检索到的是股票市场品种
004529,工银瑞信中证中药指数A,长盛盛通纯债C,unknown,证据不足以判定：与代码的基金域名「长盛盛通纯债C」相似度 0.000，低于阈值但没有反向证据
152788,21罗美债,,not_a_fund,「21罗美债」在基金域查不到同名产品，检索到的是股票市场品种
159565,华夏中证华为产业链 ETF,汽车零部件ETF易方达,unknown,证据不足以判定：与代码的基金域名「汽车零部件ETF易方达」相似度 0.158，低于阈值但没有反向证据
159823,卫星互联网ETF,嘉实H股50ETF(QDII),unknown,证据不足以判定：与代码的基金域名「嘉实H股50ETF(QDII)」相似度 0.176，低于阈值但没有反向证据
159886,富国中证核电ETF159886,机械ETF富国,unknown,证据不足以判定：与代码的基金域名「机械ETF富国」相似度 0.312，低于阈值但没有反向证据
600189,泉阳泉,,not_a_fund,「泉阳泉」在基金域查不到同名产品，检索到的是股票市场品种
603758,秦安股份,,not_a_fund,「秦安股份」在基金域查不到同名产品，检索到的是股票市场品种
HYNX,二倍做多海力士ETF-T-REX,,not_a_fund,「二倍做多海力士ETF-T-REX」在基金域查不到同名产品，检索到的是股票市场品种
SBSP76,第一创业基础设施10号,,not_a_fund,「第一创业基础设施10号」在基金域查不到同名产品，检索到的是股票市场品种
ign,北美多媒体网络etf-ishares,,not_a_fund,「北美多媒体网络etf-ishares」在基金域查不到同名产品，检索到的是股票市场品种
