prediction_id,sector,old_fund_code,old_fund_name,new_fund_code,new_fund_name,reset_verified
5,军工,515000,科技ETF华宝,512680,军工ETF广发,False
7,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,True
9,印度股,513520,,006105,宏利印度股票(QDII)A,True
72,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,False
88,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,True
178,军工,512660,军工ETF国泰,512680,军工ETF广发,True
234,沪深300,508031,国泰海通城投宽庭保租房REIT,510300,沪深300ETF华泰柏瑞,False
378,创业板,159527,云计算ETF广发,159915,创业板ETF易方达,False
419,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,True
488,CPO,515000,科技ETF华宝,159583,富国通信设备ETF,False
522,CPO,515000,科技ETF华宝,159583,富国通信设备ETF,True
540,上证指数,159943,,510210,上证指数ETF富国,False
556,红利,512890,红利低波ETF华泰柏瑞,515180,红利 ETF 易方达,False
598,大盘,159527,云计算ETF广发,510300,沪深300ETF华泰柏瑞,True
603,CPO,515000,科技ETF华宝,159583,富国通信设备ETF,False
671,SpaceX,515000,科技ETF华宝,159206,永赢国证商用卫星通信产业 ETF,True
761,CPO,515000,科技ETF华宝,159583,富国通信设备ETF,False
809,中报高增长,159527,云计算ETF广发,159259,- 成长ETF易方达,True
842,上证指数,159943,,510210,上证指数ETF富国,False
849,军工,512660,军工ETF国泰,512680,军工ETF广发,True
852,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,True
870,业绩板块,159527,云计算ETF广发,510880,华泰柏瑞上证红利ETF,True
895,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,False
903,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,True
909,大盘,159527,云计算ETF广发,510300,沪深300ETF华泰柏瑞,True
919,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,False
930,上证指数,159943,,510210,上证指数ETF富国,True
946,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,True
962,培育钻石,159928,消费ETF汇添富,516360,华宝中证新材料主题ETF,True
963,大盘,159527,云计算ETF广发,510300,沪深300ETF华泰柏瑞,True
