prediction_id,sector,old_fund_code,old_fund_name,new_fund_code,new_fund_name,reset_verified
33,储能,516160,新能源ETF南方,159305,储能电池ETF广发,True
1655,储能,516160,新能源ETF南方,159305,储能电池ETF广发,False
1755,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,True
1840,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,True
2167,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,True
2186,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,True
2230,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,True
2275,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,True
2336,储能,516160,新能源ETF南方,159305,储能电池ETF广发,True
2352,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,True
2389,储能,516160,新能源ETF南方,159305,储能电池ETF广发,True
2431,中药,512170,华宝中证医疗ETF,159647,中药ETF鹏华,False
2812,储能,516160,新能源ETF南方,159305,储能电池ETF广发,True
3074,农牧,159928,消费ETF汇添富,159275,农牧渔ETF华宝,True
3162,亚太精选,050015,博时大中华亚太精选,159687,亚太精选ETF南方,True
3192,储能,516160,新能源ETF南方,159305,储能电池ETF广发,True
3195,亚太,006105,,159687,亚太精选ETF南方,True
3208,养殖,159825,农业ETF富国,159865,养殖ETF国泰,True
3287,农牧,159928,消费ETF汇添富,159275,农牧渔ETF华宝,True
3297,储能,516160,新能源ETF南方,159305,储能电池ETF广发,False
3311,农牧,159928,消费ETF汇添富,159275,农牧渔ETF华宝,False
3337,农牧,159928,消费ETF汇添富,159275,农牧渔ETF华宝,False
