prediction_id,sector,old_fund_code,old_fund_name,new_fund_code,new_fund_name,reset_verified
60,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
310,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
325,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
537,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
539,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
541,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
618,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,False
683,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,False
871,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
926,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
928,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
992,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
996,光伏,515000,科技ETF华宝,159857,光伏ETF天弘,False
1014,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1071,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1074,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,False
1136,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1140,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1197,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
1198,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1207,光伏,515000,科技ETF华宝,159857,光伏ETF天弘,False
1217,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1231,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1238,京A,000725,京东方Ａ,012765,广发大盘价值混合A,False
1286,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1291,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1319,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1321,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1325,京A,002273,,012765,广发大盘价值混合A,True
1344,光伏,515000,科技ETF华宝,159857,光伏ETF天弘,True
1358,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
1394,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1429,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1479,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1517,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1557,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
1578,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1581,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1589,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1646,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1783,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1801,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
1833,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
1889,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
1920,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1954,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
1965,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
2003,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,False
2006,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
2041,光伏,515000,科技ETF华宝,159857,光伏ETF天弘,True
2096,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
2113,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,False
2149,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
2202,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
2233,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
2237,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
2243,A股,159527,云计算ETF广发,515440,A股ETF南方,True
2288,保险,512890,红利低波ETF华泰柏瑞,512070,证券保险ETF易方达,True
2290,人工智能,515000,科技ETF华宝,515070,人工智能ETF华夏,True
2291,光伏,516160,新能源ETF南方,159857,光伏ETF天弘,True
