id,板块,代码,映射里的名字,基金域真名,相似度,结论,相关性存疑,可确定性纠正,原本已审查,老板锁定,理由,建议标的
1,印度股,006105,宏利印度股票(QDII)A,宏利印度股票(QDII)A,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
2,存储,159995,华夏国证半导体芯片ETF,芯片ETF华夏,0.5833,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.583）,
3,市场,510050,华泰柏瑞上证50ETF,上证50ETF华夏,0.6667,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.667）,
4,CPO,159583,富国通信设备ETF,通信ETF富国,0.7778,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
5,上证指数,510210,上证指数ETF富国,上证指数ETF富国,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
6,印度,006105,宏利印度股票(QDII)A,宏利印度股票(QDII)A,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
7,元器件,515260,华宝中证电子50ETF,电子ETF华宝,0.6364,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.636）,
8,mlcc,515260,华宝中证电子50ETF,电子ETF华宝,0.6364,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.636）,
9,清洁能源,516160,南方中证新能源ETF,新能源ETF南方,0.8,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.800）,
10,造船,512660,国泰中证军工ETF,军工ETF国泰,0.7778,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
11,核聚变,159886,富国中证核电ETF159886,机械ETF富国,0.3125,code_is_other_fund,,,,,代码 159886 实为「机械ETF富国」，与板块「核聚变」无任何汉字关联,
12,中证2000,159531,中证2000ETF南方,中证2000ETF南方,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
13,全A指数,159338,国泰中证A500ETF,中证A500ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
14,微盘股,561370,国泰中证2000ETF,中证2000ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
15,成长股,009954,华银优选成长股票,华银优选成长股票,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
16,面板,159732,华夏国证消费电子主题ETF,消费电子ETF华夏,0.6923,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.692）,
17,玻璃基板,159153,鹏华国证消费电子主题 ETF,消费电子ETF鹏华,0.6923,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.692）,
18,机器视觉,159551,国泰中证机器人 ETF,机器人ETF国泰,0.8,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.800）,
19,国产替代,159667,国泰中证机床 ETF,工业母机ETF国泰,0.5,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.500）,
20,指数类,510210,上证指数ETF富国,上证指数ETF富国,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
21,移动互联,161025,富国中证移动互联网指数 (LOF),富国中证移动互联网指数(LOF)A,0.9333,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.933）,
22,PCB,515260,华宝中证电子50ETF,电子ETF华宝,0.6364,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.636）,
23,MLCC,561600,平安中证消费电子主题 ETF,消费电子ETF平安,0.6923,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.692）,
24,市场整体,510050,上证50ETF华夏,上证50ETF华夏,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
25,SpaceX,159206,永赢国证商用卫星通信产业 ETF,卫星ETF永赢,0.4667,ok,,,是,是,代码在基金域的品种名与映射名一致（Jaccard 0.467）,
26,老登,512690,酒ETF鹏华,酒ETF鹏华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
27,中际旭创,515880,国泰中证全指通信设备ETF,通信ETF国泰,0.5385,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.538）,
28,中科三环,000970,中科三环,东方红睿元混合,0.0,not_a_fund,,,,,「中科三环」在基金域查不到同名产品，检索到的是股票市场品种,
29,兆易创新,159995,华夏国证半导体芯片ETF,芯片ETF华夏,0.5833,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.583）,
30,SpaceX概念,159206,卫星ETF永赢,卫星ETF永赢,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
31,纳指,159501,纳指ETF嘉实,纳指ETF嘉实,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
32,题材股,512100,南方中证1000ETF,中证1000ETF南方,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
33,中报高增长,159259,- 成长ETF易方达,成长ETF易方达,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
34,债市,512000,券商ETF华宝,券商ETF华宝,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
35,业绩板块,510880,华泰柏瑞上证红利ETF,红利ETF华泰柏瑞,0.8182,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.818）,
36,质量成长,008528,华泰柏瑞质量成长A,华泰柏瑞质量成长A,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
37,太极实业,512480,国联安中证全指半导体ETF,半导体ETF国联安,0.6923,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.692）,
38,培育钻石,516360,华宝中证新材料主题ETF,新材料ETF华宝,0.6667,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.667）,
39,小米集团,513130,华夏恒生科技ETF（QDII）,恒生科技ETF华泰柏瑞,0.5333,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.533）,
40,中老登,512690,酒ETF鹏华,酒ETF鹏华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
41,传统老登,512690,酒ETF鹏华,酒ETF鹏华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
42,CRO,512170,华宝中证医疗ETF,医疗ETF华宝,0.7778,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
43,德明利,001309,德明利,东方红睿逸定期开放混合,0.0,not_a_fund,,,,,「德明利」在基金域查不到同名产品，检索到的是股票市场品种,
44,业绩和涨价线,512400,有色 ETF 南方,有色金属ETF南方,0.7778,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
45,综合,018536,汇添富上证综合指数C,汇添富上证综合指数C,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
47,京A,000725,京东方Ａ,大成添利宝货币B,0.0,not_a_fund,,,,,「京东方Ａ」在基金域查不到同名产品，检索到的是股票市场品种,
48,深证成指,159943,深证成指ETF大成,深证成指ETF大成,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
49,水晶,002273,水晶光电,宏利创益混合B,0.0,not_a_fund,,,,,「水晶光电」在基金域查不到同名产品，检索到的是股票市场品种,
50,紫紫,000938,紫光股份,华商稳固添利债券C,0.0,not_a_fund,,,,,「紫光股份」在基金域查不到同名产品，检索到的是股票市场品种,
