id,板块,代码,映射里的名字,基金域真名,相似度,结论,原本已审查,老板锁定,理由,建议标的
1,印度股,006105,宏利印度股票(QDII)A,宏利印度股票(QDII)A,1.0,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
2,存储,159995,华夏国证半导体芯片ETF,芯片ETF华夏,0.5833,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 0.583）,
3,市场,510050,华泰柏瑞上证50ETF,上证50ETF华夏,0.6667,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 0.667）,
4,CPO,159583,富国通信设备ETF,通信ETF富国,0.7778,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
5,上证指数,510210,上证指数ETF富国,上证指数ETF富国,1.0,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
6,印度,006105,宏利印度股票(QDII)A,宏利印度股票(QDII)A,1.0,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
7,元器件,515260,华宝中证电子50ETF,电子ETF华宝,0.6364,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 0.636）,
8,mlcc,515260,华宝中证电子50ETF,电子ETF华宝,0.6364,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 0.636）,
9,清洁能源,516160,南方中证新能源ETF,新能源ETF南方,0.8,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 0.800）,
10,造船,512660,国泰中证军工ETF,军工ETF国泰,0.7778,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
11,核聚变,159886,富国中证核电ETF159886,机械ETF富国,0.3125,code_is_other_fund,是,,代码 159886 实为「机械ETF富国」，与板块「核聚变」无任何汉字关联,
12,中证2000,159531,中证2000ETF南方,中证2000ETF南方,1.0,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
13,全A指数,159338,国泰中证A500ETF,中证A500ETF国泰,1.0,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
14,微盘股,561370,国泰中证2000ETF,中证2000ETF国泰,1.0,ok,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
