sector,code,official_name,t3_score,proxy,suitable,review_state,literal_related,human_label
"券商","159842","券商ETF银华","100.0","false","true","已审查(机器)","true",""
"5G","159811","5GETF博时","95.0","false","true","已审查(机器)","true",""
"AI","159819","人工智能ETF易方达","95.0","false","true","待审","false",""
"中报业绩","016370","信澳业绩驱动混合A","95.0","false","true","待审","true",""
"中概","513050","中概互联网ETF易方达","95.0","false","true","已审查(机器)","true",""
"中科三环","516780","稀土ETF华泰柏瑞","95.0","false","true","待审","false",""
"中药","159647","中药ETF鹏华","95.0","false","true","已审查(机器)","true",""
"亚太精选","159687","亚太精选ETF南方","95.0","false","true","已审查(机器)","true",""
"传媒","159805","传媒ETF鹏华","95.0","false","true","待审","true",""
"低估值","512890","红利低波ETF华泰柏瑞","95.0","false","true","待审","true",""
"低波","563020","红利低波ETF易方达","95.0","false","true","已审查(机器)","true",""
"低空经济","159530","机器人ETF易方达","95.0","false","true","待审","false",""
"信创","562570","信创ETF华夏","95.0","false","true","已审查(机器)","true",""
"储能","159305","储能电池ETF广发","95.0","false","true","已审查(机器)","true",""
"元宇宙","159786","VRETF银华","95.0","false","true","待审","false",""
"养殖","159865","养殖ETF国泰","95.0","false","true","已审查(机器)","true",""
"农牧","159275","农牧渔ETF华宝","95.0","false","true","已审查(机器)","true",""
"北美","513100","纳指ETF国泰","95.0","false","true","待审","false",""
"区块链","159890","云计算ETF招商","95.0","false","true","待审","false",""
"应用","516160","新能源ETF南方","95.0","false","true","待审","false",""
"水晶","159325","半导体ETF南方","95.0","false","true","已审查(机器)","false",""
"秦安股份","562700","汽车零部件ETF华夏","95.0","false","true","老板已确认","false",""
"亚太","159687","亚太精选ETF南方","90.0","false","true","已审查(机器)","true",""
"医疗","159877","医疗ETF南方","90.0","false","true","待审","true",""
"拓维信息","159998","计算机ETF天弘","90.0","false","true","待审","false",""
"核聚变","159525","红利低波ETF富国","90.0","false","true","待审","false",""
"硬件","512480","半导体ETF国联安","90.0","false","true","老板已确认","false",""
"紫紫","159996","家电ETF国泰","90.0","false","true","待审","false",""
"创新药","159992","创新药ETF银华","88.0","false","true","已审查(机器)","true",""
"保险","512070","证券保险ETF易方达","85.0","false","true","已审查(机器)","true",""
"全球","513500","标普500ETF博时","85.0","false","true","待审","false",""
"哈三联","512170","医疗ETF华宝","85.0","true","true","待审","false",""
"天娱数科","515070","人工智能ETF华夏","85.0","false","true","待审","false",""
"数字货币","011399","汇添富数字未来混合A","85.0","false","true","待审","true",""
"德明利","512760","芯片ETF国泰","82.0","true","true","待审","false",""
"海力士","512760","芯片ETF国泰","82.0","true","true","待审","false",""
"中证1000","159845","中证1000ETF华夏","80.0","false","true","已审查(机器)","true",""
"军工","512680","军工ETF广发","80.0","false","true","已审查(机器)","true",""
"华为概念","159732","消费电子ETF华夏","80.0","true","true","待审","true",""
"中概互联","159605","中概互联ETF广发","75.0","false","true","已审查(机器)","true",""
"人工智能","515070","人工智能ETF华夏","75.0","false","true","已审查(机器)","true",""
"医疗器械","159898","医疗器械ETF招商","75.0","false","true","已审查(机器)","true",""
"液冷","159775","电池ETF建信","75.0","true","true","待审","false",""
"互联网","517200","互联网ETF嘉实","67.0","false","true","已审查(机器)","true",""
"制冷剂","159870","化工ETF鹏华","65.0","true","true","已审查(机器)","false",""
"矿泉水","515170","食品饮料ETF华夏","65.0","true","true","已审查(机器)","false",""
"A股互联网","001210","天弘互联网混合A","57.0","false","false","已审查(机器)","true",""
"光伏","159857","光伏ETF天弘","50.0","false","true","已审查(机器)","true",""
"美债","511100","国债ETF华夏","40.0","true","false","已审查(机器)","true",""
"京A","012765","广发大盘价值混合A","10.0","false","false","已审查(机器)","false",""
"A股","515440","A股ETF南方","0.0","false","false","已审查(机器)","true",""
"场内第一持仓","510300","沪深300ETF华泰柏瑞","0.0","false","false","已审查(机器)","false",""
